Date,Close,High,Low,Open,Volume,Ticker,Name
2018-01-02,5.563982009887695,5.575501905223553,5.523663474809879,5.558222062219766,5284100,1155.KL,Maybank
2018-01-03,5.63309907913208,5.63309907913208,5.563981363048722,5.563981363048722,13946300,1155.KL,Maybank
2018-01-04,5.644620418548584,5.656139766196183,5.6331005216020635,5.6331005216020635,18711500,1155.KL,Maybank
2018-01-05,5.644620418548584,5.656139766196183,5.638860470075324,5.644620418548583,17266600,1155.KL,Maybank
2018-01-08,5.6734185218811035,5.6734185218811035,5.638859386978488,5.644619334345393,19238800,1155.KL,Maybank
2018-01-09,5.661898612976074,5.673418507681051,5.644619320217423,5.656138665623587,14892600,1155.KL,Maybank
2018-01-10,5.667658805847168,5.673418753449172,5.65037951233999,5.65037951233999,18220300,1155.KL,Maybank
2018-01-11,5.667658805847168,5.673418753449172,5.661898858245163,5.667658805847167,11074400,1155.KL,Maybank
2018-01-12,5.6734185218811035,5.679177919949193,5.661898627147293,5.661898627147293,15866800,1155.KL,Maybank
2018-01-15,5.6734185218811035,5.690697814683003,5.661898627147293,5.661898627147293,8175600,1155.KL,Maybank
2018-01-16,5.6734185218811035,5.684937867316099,5.656138679780389,5.679177919949193,9757500,1155.KL,Maybank
2018-01-17,5.690697193145752,5.690697193145752,5.661898008755485,5.673417902231094,6246100,1155.KL,Maybank
2018-01-18,5.679178714752197,5.69069861109822,5.6734193158780775,5.69069861109822,7144300,1155.KL,Maybank
2018-01-19,5.684938430786133,5.684938430786133,5.673419084209383,5.679178482848323,10349100,1155.KL,Maybank
2018-01-22,5.684938430786133,5.690698378723942,5.661899188333763,5.661899188333763,7857700,1155.KL,Maybank
2018-01-23,5.6964569091796875,5.6964569091796875,5.650378435740919,5.673417672460303,11027100,1155.KL,Maybank
2018-01-24,5.707976341247559,5.71373628784125,5.690697050765227,5.696456997358918,10791600,1155.KL,Maybank
2018-01-25,5.759815216064453,5.759815216064453,5.702216844184295,5.702216844184295,22369300,1155.KL,Maybank
2018-01-26,5.805894374847412,5.805894374847412,5.736776650063377,5.7598158916580555,12715400,1155.KL,Maybank
2018-01-29,5.875010967254639,5.898050204408628,5.782854018638682,5.782854018638682,11916400,1155.KL,Maybank
2018-01-30,5.817413330078125,5.8634918058202325,5.771334854336017,5.840452567949178,13480900,1155.KL,Maybank
2018-02-02,5.817413330078125,5.8634918058202325,5.7828541986221635,5.8634918058202325,22122400,1155.KL,Maybank
2018-02-05,5.771336078643799,5.81741456416081,5.679178558310902,5.7137376970980975,16512600,1155.KL,Maybank
2018-02-06,5.759815216064453,5.771335110159998,5.5985405438183085,5.702216844184295,26590600,1155.KL,Maybank
2018-02-07,5.794374942779541,5.8519727712627425,5.754055858612576,5.782855047503596,15623900,1155.KL,Maybank
2018-02-08,5.805894374847412,5.817414270294176,5.7598158916580555,5.817414270294176,7491300,1155.KL,Maybank
2018-02-09,5.771336078643799,5.782855425373614,5.6964584023539375,5.702217801069407,9938100,1155.KL,Maybank
2018-02-12,5.794374942779541,5.805894288756645,5.771335701526493,5.782855047503596,9640700,1155.KL,Maybank
2018-02-13,5.817413330078125,5.828932674364272,5.7828541986221635,5.817413330078124,14350700,1155.KL,Maybank
2018-02-14,5.828934192657471,5.840454089243026,5.805894948785263,5.828934192657471,13604500,1155.KL,Maybank
2018-02-15,5.817413330078125,5.840452567949178,5.817413330078124,5.817413330078124,6344400,1155.KL,Maybank
